SIOCSARP: Invalid argument
arp: cannot set entry on line 34 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for all child processes to finish ... 
Waiting for trigger file ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.21 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.066787 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000573 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.013537 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 1.11811 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.10021 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000474 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.267676 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.31575 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.001547 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.95853 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.101489 Server = 10.1.1.21, Port = 50051
