SIOCSARP: Invalid argument
arp: cannot set entry on line 64 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.21 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.066298 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000505 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.013818 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 1.11853 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.100679 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.368212 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.169238 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.046818 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000699 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.586049 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.33617 Server = 10.1.1.21, Port = 50051
