SIOCSARP: Invalid argument
arp: cannot set entry on line 44 of etherfile /tmp/arp.txt !
Logging all child pids ... 
Waiting for trigger file ... 
Waiting for all child processes to finish ... 
Starting Process: /home/kronos/Downloads/grpc/examples/cpp/helloworld/greeter_client 10.1.1.21 50051 100 100
Waiting for 1 sec for server to start ...
Time elapsed for request completion: 0.066049 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000639 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.01321 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.00057 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 1.01803 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.099876 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.000547 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.267255 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.136944 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.079078 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.001214 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.001063 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.921414 Server = 10.1.1.21, Port = 50051
Time elapsed for request completion: 0.038601 Server = 10.1.1.21, Port = 50051
